in_response_to_tweet_id,customer_text,text,created_at,intent
30493,"@AmazonHelp No. But the amazon package tape was broken, and i could see visibly where someone taped it back with their own tape","@122714 If the tape becomes damaged during transit, the shipper will sometimes re-tape a package so the contents don't fall out. ^MJ",Wed Nov 01 11:57:31 +0000 2017,damaged_or_missing_items
58131,@115830 been told my parcel was out for delivery since 630 now I'm told not to expect it till tomorrow. What is going on? It's prime,@129195 I'm so sorry for the wait! What does the order confirmation say the delivery date is? ^MH,Wed Nov 01 20:23:31 +0000 2017,delivery_delayed
60225,"@AmazonHelp Hola, no. Que tengo que hacer? Gracias","@129770 ¿Realizaste la compra por medio de la aplicación de Prime Now? De ser así, puedes reportalo directamente desde la App. ^LG",Wed Nov 01 21:14:00 +0000 2017,other
23170,@115850 is it #ethical to sell Audible in India if the support lies on shore? Why push this service down a customers throat?,@121046 Sorry for the trouble. We've received your details. Please allow us some time and we'll reach out to you. ^KA,Wed Nov 01 08:58:31 +0000 2017,other
18904,"Dear @115850  my order #407-7208892-2195534 is suppose to deliver by 31 Oct 2017...
Still not received...",@120226 I’m sorry about the issue you’re facing with delivery. Let us look into it. (1/3)^HR,Wed Nov 01 06:11:00 +0000 2017,delivery_delayed
17260,"@AmazonHelp apologies only dnt work. why last tim i was gvn assurance tht i wont repeat and now it happened again, whts your excuse now?",@119798 I’m sorry for the hassle. Please drop in your details here: https://t.co/GIJyeYqKE0 We will look into it. ^SB,Fri Oct 20 11:42:00 +0000 2017,other
54390,"@AmazonHelp Meu aparelho é a 7ª edição, não consegui resolver o meu problema. :(","@128311 Thalyta, você tentou os seguintes passos: https://t.co/oPQjuhAicE? ^LG",Wed Nov 01 20:30:43 +0000 2017,device_issue
52901,"@115850 Why you guys update tracking status as ""delivered"" without actually delivering the product? Tracking #:511367948985","@127911 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. 2/2 ^MK",Wed Nov 01 18:43:01 +0000 2017,package_not_received
32347,@AmazonHelp It doesn't say message sent it doesn't seem to do anything... I imagine if it was sent I would get an automated reply via email,"@123165 You should get a confirmation on your screen that says ""Thank you! Your e-mail has been sent."" Do you get that message?  ^TH",Wed Nov 01 13:16:02 +0000 2017,other
54382,"@AmazonHelp Et bien je ne peux pas accéder à mon compte, il a été bloqué","@128309 Je vous comprend et j'en suis navrée, veuillez nous joindre directement ici: https://t.co/MBTDQi7u2J . ^ASZ",Wed Nov 01 19:38:26 +0000 2017,account_access
9802,"@AmazonHelp Haven’t received any mail, can you please resend mail to __email__",@117791 I just checked and can see that we have sent you an email correspondence. Request you to please check your spam folder. ^MK,Wed Nov 01 00:20:28 +0000 2017,other
21529,@AmazonHelp Today when I was checking my ordereds I've come to know that refund not initiated for this product. When I called to customer care they said there is problem with product. I dont understand what's happening.,@120700 We've responded to you via DM. Please check. ^SG,Wed Nov 15 16:21:50 +0000 2017,payment_issue
20051,@AmazonHelp Amazon has encountered an error. Please try again shortly. This message appears every time I attempt to change my default list for days now.,@120407 My apologies Christopher. Have you tried from a non mobile device? ^DC,Wed Nov 01 07:13:30 +0000 2017,other
65835,"@AmazonHelp (Cont) lacked those features. I tried contacting the seller, they didn't reply. I submitted a claim, they finally replied saying they would give me a refund after they sent this laptop back, which is no bueno. I'm currently a student taking online classes and I need (cont)",@131059 Hello! Apologies for the trouble this has caused. When did you file the claim?^CN,Thu Nov 30 09:01:00 +0000 2017,payment_issue
74639,@115821 @115850  i don’t understand y there is return policy.if its only depends on 1.3 rate app and that showing 1/2 https://t.co/jrrcnN2RjB,@132715 Our page is visible to the public. (2/2)^SU,Thu Nov 30 11:20:00 +0000 2017,other
23960,"@AmazonHelp Simply delivery attempt. Could not deliver today. I imagine it was because it was a business add and after 5, but no attempt was ever made.",@121152 Is there any information regarding when another attempt will be made? ^BM,Wed Nov 01 09:20:24 +0000 2017,delivery_delayed
71910,"@AmazonHelp Hola. vendedor externo.

Vendedor: LVWIT LIGHTING","@132133 En este caso Fran, te recomiendo entrar en contacto con el vendedor para verificar tus opciones. Puedes hacerlo siguiendo estos pasos:https://t.co/S1trPRq4Rk ^VL",Thu Nov 30 10:20:01 +0000 2017,other
35199,"@AmazonHelp N'hésitez pas à insister, cela fait désormais plusieurs jours et c'est très pénalisant.",@123665 Vous pouvez compter sur moi et merci pour votre patience et votre compréhension.,Mon Nov 06 23:09:00 +0000 2017,delivery_delayed
23985,@AmazonHelp Have done - any idea on how long it will take?,@121156 You can expect a contact from us with in 12 hours! ^MW,Wed Nov 01 10:50:00 +0000 2017,other
21568,"@AmazonHelp Ohhh so this how u treat a prime customer...unless u provide me resolution don't reply on this and also I am tagging big people from Amazon to look into it...stop send me tweets with empathy...I don't need it...m the customer, I'll go somewhere else","@120701 As the details are shared from the link mentioned earlier, we'd get back to you soon with an update. ^BS",Tue Oct 31 14:55:31 +0000 2017,other
65907,@AmazonHelp It says it has been out for delivery since 8:14am today,@131075 Our couriers can deliver until 21:00. Keep us posted on the delivery! ^MT,Thu Nov 30 20:15:34 +0000 2017,delivery_delayed
24562,@115850 @121294 Yesterday my LGQ6 was delivered and I complain for its heating issue but didn't get any appropriate response.,@121293 Please share your details from the link here: https://t.co/beaaDm0muc to assist you accordingly. (2/2)^HR,Wed Nov 01 09:18:33 +0000 2017,device_issue
18131,@115850 @AmazonHelp 'Handed over directly to Customer' when I'd left this place at 6:00 pm &amp; never returned for the night. Trust @115850 to do the impossible,"@120030 I'm sorry, this was never our intention. Did you report this to our customer service team here: https://t.co/vlvfJr4nN9. ^SI",Wed Nov 01 05:19:00 +0000 2017,package_not_received
95387,"@115830 dear amazon, loving your new advert with the singing boxes! Just a little complaint...why do my boxes from yourselves never sing to me :( lol #feelingleftout #singingboxes",@136739 Hmm. Some of our boxes are a little shy. Have you tried starting the song first yourself?🎤📦  ^JZ,Thu Nov 30 16:06:29 +0000 2017,other
16466,@AmazonHelp The link didnt go to app instead asked me to buy movies :-) I am looking for those on Amazon prime. Search function said did not exist,@119627 I'm sorry the link didn't work. You can view the list of Audio Descriptions by clicking here: https://t.co/M37Heh3Uak ^AY,Thu Nov 02 21:59:31 +0000 2017,prime_video_issue
80706,@AmazonHelp C’est envoyé !,@133902 Parfait,Thu Nov 30 13:19:43 +0000 2017,other
12498,@AmazonHelp Is that a 24 hr line,@118498 Yes. Our main customer service line is open 24 hours a day. ^LJ,Wed Nov 01 02:13:00 +0000 2017,other
93653,"@115830 Hi, how can I return a faulty item after a month? I have an @5516 in-ear mic that doesn't record and it's costing me my job and my sanity. Thanks.",@136297 Oh no! Please reach out to us here via phone or chat: https://t.co/hApLpMlfHN so we can look into options with you! We'd like to help! ^ZW,Thu Nov 30 15:40:00 +0000 2017,damaged_or_missing_items
16422,@AmazonHelp Intelcom Express. I couldn't contact them last night since I got home after their operating hours. Sent them an email this morning,"@119617 Please let us know if you do not receive your order, or an update, today so we may contact the carrier on your behalf. ^WM",Wed Nov 01 17:08:00 +0000 2017,other
40368,A @117086 sempre se superando,"@124850 Oi Ju, como podemos te ajudar hoje? ^VL",Wed Nov 01 15:23:30 +0000 2017,other
13876,@AmazonHelp done.,"@118918 Thank you for letting us know, we'll get back to you soon with an update. ^BS",Tue Oct 31 10:01:27 +0000 2017,other
